72357 OUN Norman Observations at 12Z 22 May 2011

-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0     36                                                               
  966.0    345   22.2   21.0     93  16.50    180      7  298.3  346.4  301.2
  953.0    462   21.4   20.7     96  16.42    184     16  298.6  346.6  301.6
  936.9    610   20.8   20.5     98  16.52    190     28  299.5  347.9  302.5
  925.0    720   20.4   20.4    100  16.61    200     33  300.2  349.0  303.1
  904.5    914   19.3   19.3    100  15.81    205     36  300.9  347.6  303.8
  896.0    995   18.8   18.8    100  15.49    209     38  301.3  347.0  304.1
  890.0   1054   20.0   20.0    100  16.84    212     40  303.1  353.2  306.1
  886.0   1093   22.2   19.0     82  15.87    214     41  305.7  353.5  308.6
  873.3   1219   23.2   13.3     54  11.12    220     45  308.0  342.0  310.1
  873.0   1222   23.2   13.2     53  11.04    220     45  308.1  341.8  310.1
  850.0   1454   22.0    6.0     35   6.94    210     37  309.2  330.8  310.5
  846.0   1495   21.8    3.8     31   5.97    210     37  309.4  328.1  310.5
  813.8   1829   19.2   -1.7     24   4.16    210     34  310.1  323.4  310.8
  802.0   1955   18.2   -3.8     22   3.62    214     32  310.3  322.0  311.0
  785.0   2134   16.5   -4.7     23   3.46    220     29  310.4  321.6  311.1
  757.1   2438   13.7   -6.2     25   3.20    230     30  310.6  321.0  311.2
  730.1   2743   10.9   -7.7     26   2.96    240     31  310.7  320.4  311.3
  700.0   3096    7.6   -9.4     29   2.69    245     30  310.9  319.7  311.4
  653.3   3658    2.3  -10.9     37   2.56    250     26  311.1  319.5  311.6
  639.0   3839    0.6  -11.4     40   2.52    251     31  311.1  319.4  311.6
  606.0   4262   -2.9  -12.9     46   2.35    255     42  311.8  319.6  312.3
  605.6   4267   -2.9  -12.9     46   2.35    255     42  311.9  319.6  312.3
  584.0   4555   -4.5  -14.5     46   2.14    255     54  313.3  320.4  313.7
  582.7   4572   -4.4  -14.4     46   2.17    255     55  313.6  320.9  314.0
  582.0   4582   -4.3  -14.3     46   2.18    255     55  313.8  321.1  314.2
  577.0   4650   -3.7  -24.7     18   0.90    256     52  315.3  318.5  315.5
  571.0   4733   -3.3  -36.3      6   0.30    258     49  316.7  317.9  316.8
  561.0   4873   -3.9  -31.9      9   0.47    260     44  317.6  319.4  317.7
  560.7   4877   -3.9  -31.8      9   0.48    260     44  317.6  319.4  317.7
  539.4   5182   -6.3  -27.4     17   0.75    255     41  318.4  321.1  318.5
  539.0   5187   -6.3  -27.3     17   0.76    255     41  318.4  321.1  318.5
  500.0   5770  -11.1  -29.1     21   0.69    260     48  319.4  322.0  319.6
  478.9   6096  -13.7  -31.3     21   0.59    265     46  320.2  322.4  320.3
  453.0   6515  -17.1  -34.1     21   0.47    263     44  321.1  322.8  321.1
  443.0   6681  -18.3  -32.3     28   0.58    263     43  321.6  323.8  321.7
  406.3   7315  -23.9  -37.0     29   0.39    260     40  322.4  323.9  322.5
  400.0   7430  -24.9  -37.9     29   0.37    255     38  322.5  323.9  322.6
  389.3   7620  -26.6  -39.3     29   0.33    250     35  322.8  324.0  322.8
  327.3   8839  -37.9  -48.1     34   0.15    230     28  323.7  324.3  323.8
  313.4   9144  -40.7  -50.3     35   0.12    235     26  323.9  324.4  323.9
  300.0   9449  -43.5  -52.5     36   0.10    230     24  323.9  324.4  324.0
  286.0   9769  -46.3  -55.3     35   0.07    240     28  324.4  324.7  324.4
  250.0  10650  -52.1  -62.1     29   0.04    255     41  328.5  328.6  328.5
  249.0  10676  -52.3  -62.3     29   0.04    255     41  328.6  328.7  328.6
  220.0  11473  -54.1  -64.1     28   0.03    261     54  337.6  337.8  337.6
  210.0  11770  -55.9  -65.9     27   0.03    263     58  339.3  339.4  339.3
  200.0  12080  -56.5  -66.5     27   0.02    265     63  343.1  343.2  343.1
  197.0  12176  -56.5  -66.5     27   0.03    265     64  344.6  344.7  344.6
  196.5  12192  -56.5  -66.5     27   0.03    265     64  344.9  345.0  344.9
  190.0  12405  -56.5  -66.5     27   0.03    265     63  348.2  348.3  348.2
  181.0  12711  -57.9  -67.9     27   0.02    265     61  350.8  350.9  350.8
  173.0  12996  -56.9  -66.9     27   0.03    264     60  357.0  357.1  357.0
  159.0  13526  -59.3  -69.3     26   0.02    261     58  361.6  361.8  361.6
  155.0  13685  -58.9  -68.9     26   0.02    260     57  365.0  365.1  365.0
  154.2  13716  -59.0  -69.0     26   0.02    260     57  365.3  365.4  365.3
  150.0  13890  -59.5  -69.5     26   0.02    260     51  367.4  367.5  367.4
  148.0  13974  -59.9  -69.9     26   0.02    254     48  368.1  368.2  368.1
  146.9  14021  -59.2  -69.2     26   0.02    250     47  370.0  370.2  370.0
  146.0  14059  -58.7  -68.7     26   0.03    252     46  371.6  371.7  371.6
  142.0  14233  -57.9  -67.9     27   0.03    262     40  376.0  376.1  376.0
  140.0  14323  -56.7  -66.7     27   0.03    267     38  379.6  379.8  379.6
  137.0  14460  -56.5  -66.5     27   0.04    275     33  382.3  382.5  382.3
  133.3  14630  -57.7  -67.7     27   0.03    285     28  383.2  383.4  383.2
  127.0  14935  -59.8  -69.8     26   0.02    275     17  384.8  384.9  384.8
  126.0  14986  -60.1  -70.1     26   0.02    273     17  385.1  385.2  385.1
  120.9  15240  -61.0  -71.0     25   0.02    260     16  387.9  388.1  387.9
  111.0  15771  -62.9  -72.9     25   0.02    233     18  394.0  394.1  394.0
  109.0  15882  -64.3  -73.3     28   0.02    227     18  393.4  393.5  393.4
  104.0  16170  -63.3  -73.3     25   0.02    212     19  400.6  400.8  400.6
  100.0  16410  -64.3  -74.3     24   0.02    200     20  403.2  403.3  403.2
