PRES,TEMP,DWPT,DRCT,SPED,HGHT
1000.0,-9999.0,-9999.0,-9999.0,-9999.0,138.0
985.0,20.0,13.0,150.0,3.09,270.0
982.0,20.6,13.6,150.0,3.09,296.34
981.01,20.54,13.57,150.0,3.09,305.0
946.79,18.4,12.62,185.0,10.81,610.0
925.0,17.0,12.0,180.0,12.36,810.0
913.73,16.05,11.55,180.0,12.87,914.0
881.47,13.28,10.23,190.0,13.9,1219.0
876.0,12.8,10.0,194.31,13.63,1271.78
865.0,12.8,7.8,203.05,13.1,1378.15
857.0,15.0,2.0,209.49,12.7,1456.58
850.2,14.81,1.81,215.0,12.36,1524.0
850.0,14.8,1.8,215.0,12.36,1526.0
838.0,14.4,0.4,207.08,11.75,1646.04
828.0,15.4,-8.6,200.39,11.23,1747.41
820.04,15.22,-8.55,195.0,10.81,1829.0
794.0,14.6,-8.4,199.46,10.81,2101.38
790.89,14.38,-8.69,200.0,10.81,2134.0
762.52,12.29,-11.35,210.0,11.33,2438.0
735.08,10.19,-14.03,210.0,11.84,2743.0
708.63,8.1,-16.71,210.0,11.84,3048.0
700.0,7.4,-17.6,205.0,11.84,3150.0
694.0,6.8,-18.2,202.92,11.41,3220.64
657.84,5.73,-35.29,190.0,8.75,3658.0
647.0,5.4,-40.6,186.68,9.55,3793.81
624.0,3.2,-37.8,179.44,11.29,4087.65
610.29,2.87,-37.8,175.0,12.36,4267.0
583.0,2.2,-37.8,163.0,8.96,4636.21
565.51,0.12,-37.9,155.0,6.69,4877.0
503.75,-7.79,-38.28,155.0,6.69,5791.0
500.0,-8.3,-38.3,150.0,5.66,5850.0
483.93,-10.47,-39.59,140.0,3.6,6096.0
464.71,-13.15,-41.19,135.0,2.57,6401.0
446.26,-15.84,-42.78,225.0,1.03,6706.0
428.6,-18.52,-44.38,350.0,2.06,7010.0
411.59,-21.21,-45.97,350.0,3.09,7315.0
400.0,-23.1,-47.1,0.0,3.09,7530.0
397.0,-23.7,-46.7,0.0,3.09,7585.27
395.11,-23.88,-47.08,0.0,3.09,7620.0
378.93,-25.48,-50.39,90.0,4.63,7925.0
369.0,-26.5,-52.5,90.0,5.61,8118.59
363.35,-27.27,-48.11,90.0,6.18,8230.0
356.0,-28.3,-42.3,93.19,6.34,8377.7
341.0,-29.5,-48.5,99.89,6.69,8686.81
319.59,-33.35,-52.85,110.0,7.21,9144.0
306.06,-35.91,-55.76,110.0,7.72,9449.0
300.0,-37.1,-57.1,115.0,6.69,9590.0
292.88,-38.37,-58.97,120.0,4.63,9754.0
280.12,-40.71,-62.43,90.0,1.54,10058.0
277.0,-41.3,-63.3,64.1,1.67,10134.41
267.69,-43.1,-63.43,345.0,2.06,10363.0
255.75,-45.5,-63.61,10.0,3.09,10668.0
250.0,-46.7,-63.7,10.0,4.12,10820.0
244.14,-47.93,-64.19,10.0,4.63,10973.0
232.87,-50.39,-65.16,345.0,4.12,11278.0
211.9,-55.3,-67.11,320.0,4.12,11887.0
200.0,-58.3,-68.3,320.0,6.18,12260.0
195.0,-59.7,-68.7,320.54,7.45,12419.92
158.08,-66.26,-76.86,325.0,18.02,13716.0
150.0,-67.9,-78.9,320.0,17.5,14040.0
144.0,-69.1,-79.1,305.0,18.02,14284.04
135.91,-68.53,-79.35,300.0,18.02,14630.0
125.0,-67.7,-79.7,283.61,11.69,15130.35
122.72,-67.94,-79.94,280.0,10.3,15240.0
110.78,-69.29,-81.29,280.0,12.36,15850.0
105.28,-69.96,-81.96,255.0,9.78,16154.0
