PRES,TEMP,DWPT,DRCT,SPED,HGHT
1004.0,28.0,22.0,0.0,0.0,6.0
1003.0,26.2,21.2,41.19,0.38,34.53
1000.0,26.2,21.2,165.0,1.54,120.0
980.0,24.2,20.29,190.0,2.06,298.28
978.0,24.0,20.2,188.94,2.1,316.31
925.0,21.8,17.3,160.0,3.09,804.0
915.0,21.39,16.95,155.0,3.09,898.48
884.0,20.08,15.85,190.0,2.06,1198.08
854.0,18.78,14.75,270.0,1.03,1498.19
850.0,18.6,14.6,295.0,1.54,1539.0
826.0,17.4,13.7,313.44,2.49,1784.02
824.0,17.3,13.56,315.0,2.57,1804.44
796.0,15.84,11.62,285.0,2.06,2095.6
768.0,14.32,9.61,320.0,2.06,2397.19
741.0,12.81,7.6,320.0,1.03,2698.61
715.0,11.3,5.59,260.0,1.03,2999.43
700.0,10.4,4.4,325.0,1.03,3178.0
690.0,9.77,3.42,335.0,1.03,3296.62
665.0,8.15,0.9,270.0,2.57,3600.84
619.0,5.0,-4.0,355.0,1.54,4191.76
596.0,3.27,-5.04,105.0,1.03,4497.8
555.0,0.0,-7.0,38.46,1.27,5073.87
513.0,-4.78,-7.78,325.0,1.54,5698.4
512.0,-4.9,-7.8,328.42,1.54,5713.88
500.0,-5.9,-11.9,10.0,1.54,5900.0
494.0,-5.9,-11.9,35.0,1.03,5994.82
488.0,-5.9,-11.9,352.94,0.87,6090.8
475.0,-7.39,-13.39,260.0,0.51,6300.59
457.0,-9.53,-15.53,200.0,0.51,6600.75
441.0,-11.5,-17.5,35.48,2.45,6877.65
440.0,-11.62,-17.49,25.0,2.57,6894.93
406.0,-16.02,-17.24,110.0,0.51,7506.9
401.0,-16.7,-17.2,255.65,0.51,7601.2
400.0,-16.9,-17.2,285.0,0.51,7620.0
390.0,-17.95,-19.38,265.0,3.09,7809.08
374.0,-19.7,-23.0,236.22,2.82,8121.93
361.0,-21.5,-23.0,211.91,2.59,8383.7
360.0,-21.65,-23.15,210.0,2.57,8403.76
332.0,-26.17,-27.52,235.0,2.57,8989.44
305.0,-30.9,-32.1,184.79,2.57,9602.99
300.0,-31.9,-33.8,175.0,2.57,9720.0
292.0,-33.12,-36.67,145.0,3.09,9910.57
287.0,-33.9,-38.5,118.25,2.67,10032.34
280.0,-35.2,-40.71,80.0,2.06,10204.46
269.0,-37.3,-44.3,59.87,2.29,10483.82
268.0,-37.5,-44.48,58.0,2.31,10509.58
256.0,-40.16,-46.67,35.0,2.57,10815.25
245.0,-42.7,-48.77,30.0,2.57,11108.3
234.0,-45.37,-50.97,65.0,4.12,11414.83
215.0,-50.28,-55.02,85.0,7.72,11979.88
205.0,-53.04,-57.29,90.0,8.75,12297.69
202.0,-53.9,-58.0,84.03,9.06,12396.06
200.0,-54.3,-58.6,80.0,9.27,12460.0
192.0,-56.5,-61.2,54.69,10.43,12719.04
191.0,-56.7,-61.56,51.45,10.58,12752.0
186.0,-58.14,-63.42,35.0,11.33,12915.07
169.0,-63.35,-70.11,45.0,12.87,13504.28
161.0,-65.99,-73.5,50.0,15.44,13802.39
156.0,-67.7,-75.7,50.0,15.67,13996.33
150.0,-69.7,-77.7,50.0,15.96,14230.0
132.0,-74.77,-84.63,65.0,24.71,14974.25
122.0,-77.9,-88.9,70.0,35.01,15432.91
119.0,-76.71,-89.2,75.0,35.52,15575.46
118.0,-76.3,-89.3,77.45,35.1,15623.78
113.0,-76.88,-89.88,90.0,32.95,15871.3
100.0,-78.5,-91.5,105.0,23.17,16570.0
96.7,-80.1,-92.1,105.0,21.48,16760.63
96.0,-79.22,-91.6,105.0,21.11,16802.22
93.1,-75.5,-89.5,107.87,14.02,16977.82
91.7,-71.1,-88.1,109.28,10.52,17066.55
91.0,-70.54,-87.54,110.0,8.75,17112.17
89.0,-68.9,-85.9,164.38,6.71,17244.47
87.0,-69.52,-86.52,220.0,4.63,17378.92
78.0,-72.52,-89.52,260.0,8.24,18024.85
75.0,-73.59,-90.59,285.0,3.09,18256.85
74.7,-73.7,-90.7,285.0,3.09,18280.55
71.0,-74.05,-91.05,255.0,3.6,18577.18
70.5,-74.1,-91.1,252.51,3.6,18618.44
70.0,-73.7,-90.7,250.0,3.6,18660.0
67.3,-67.9,-88.9,260.97,6.54,18893.85
64.0,-68.16,-89.16,275.0,10.3,19196.14
53.5,-69.1,-90.1,264.11,11.42,20273.6
50.0,-68.3,-90.3,260.0,11.84,20680.0
45.0,-63.03,-87.96,310.0,11.33,21322.54
43.3,-61.1,-87.1,301.15,11.33,21557.38
37.0,-59.81,-84.53,265.0,11.33,22539.74
35.0,-59.36,-83.62,275.0,12.87,22886.92
34.0,-59.12,-83.15,280.0,15.96,23068.02
31.0,-58.37,-81.64,275.0,16.47,23645.14
30.0,-58.1,-81.1,270.0,15.44,23850.0
29.1,-58.3,-81.3,270.0,14.98,24041.65
29.0,-9999.0,-9999.0,270.0,14.93,-9999.0
