STN,YYMMDD/HHMM,PMSL,ALTI,TMPC,DWPC,SKNT,DRCT,GUST,WNUM,CHC1,CHC2,CHC3,VSBY,P03D,P03I,MSUN,SNOW,WEQS,P24I,TDXC,TDNC,P03C,CTYL,CTYM,CTYH,P06I,T6XC,T6NC,CEIL,P01I,SNEW
LWC,210401/0000,1031.3,30.44,9.4,-9.4,12.0,340.0,-9999.0,-9999.0,1004.0,-9999.0,-9999.0,10.0,3005.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
LWC,210401/0100,1031.6,30.44,6.1,-7.8,6.0,310.0,-9999.0,-9999.0,1.0,-9999.0,-9999.0,10.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
LWC,210401/0200,1031.8,30.45,3.9,-7.2,3.0,330.0,-9999.0,-9999.0,1.0,-9999.0,-9999.0,10.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
LWC,210401/0300,1032.7,30.48,0.6,-6.1,4.0,300.0,-9999.0,-9999.0,1.0,-9999.0,-9999.0,10.0,3014.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.4,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
LWC,210401/0400,1033.2,30.5,-0.6,-6.1,6.0,310.0,-9999.0,-9999.0,1.0,-9999.0,-9999.0,10.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
LWC,210401/0500,1033.7,30.51,-2.2,-6.1,7.0,330.0,-9999.0,-9999.0,1.0,-9999.0,-9999.0,10.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
LWC,210401/0600,1034.3,30.53,-0.6,-6.7,3.0,280.0,-9999.0,-9999.0,1.0,-9999.0,-9999.0,10.0,3017.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,12.8,-4.4,1.7,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
LWC,210401/0700,1034.4,30.53,-1.1,-7.2,0.0,0.0,-9999.0,-9999.0,1.0,-9999.0,-9999.0,10.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
LWC,210401/0800,1034.7,30.54,-5.0,-7.2,7.0,350.0,-9999.0,-9999.0,1.0,-9999.0,-9999.0,10.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
LWC,210401/0900,1034.9,30.55,-4.4,-7.2,5.0,320.0,-9999.0,-9999.0,1.0,-9999.0,-9999.0,10.0,3005.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.5,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
LWC,210401/1000,1035.1,30.55,-4.4,-7.2,0.0,0.0,-9999.0,-9999.0,1.0,-9999.0,-9999.0,10.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
LWC,210401/1100,1035.3,30.56,-5.0,-7.2,3.0,270.0,-9999.0,-9999.0,1.0,-9999.0,-9999.0,10.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
LWC,210401/1200,1036.1,30.58,-5.6,-8.3,0.0,0.0,-9999.0,-9999.0,1.0,-9999.0,-9999.0,10.0,3010.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
LWC,210401/1300,1036.8,30.6,-5.0,-6.7,3.0,360.0,-9999.0,-9999.0,1.0,-9999.0,-9999.0,10.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
