-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0     89                                                               
  925.0    768                                                               
  923.0    790   24.4   17.4     65  13.73    145     17  304.4  345.6  306.9
  903.0    981   21.8   14.8     64  11.86    152     23  303.7  339.2  305.8
  878.3   1219   19.7   14.2     70  11.69    160     30  303.9  339.0  306.0
  850.0   1500   17.2   13.4     78  11.49    175     33  304.1  338.7  306.2
  844.0   1561   16.6   13.2     80  11.42    180     34  304.1  338.4  306.2
  823.0   1776   17.4   11.4     68  10.39    196     38  307.2  338.9  309.1
  817.9   1829   17.3   11.3     68  10.37    200     39  307.6  339.2  309.5
  807.0   1944   17.0   11.0     68  10.32    208     38  308.5  340.1  310.4
  792.0   2104   18.4   -0.6     28   4.65    218     36  311.6  326.5  312.5
  789.2   2134   18.2   -0.5     28   4.71    220     36  311.7  326.8  312.6
  763.0   2422   16.0    1.0     36   5.42    234     26  312.4  329.7  313.4
  761.6   2438   15.9    0.7     36   5.32    235     25  312.5  329.4  313.5
  744.0   2636   15.0   -3.0     29   4.14    235     26  313.6  327.0  314.3
  734.6   2743   14.0   -4.0     28   3.89    235     26  313.6  326.3  314.3
  700.0   3147   10.2   -7.8     27   3.05    235     23  313.8  323.8  314.3
  657.3   3658    5.5  -10.3     31   2.67    250     20  314.1  323.0  314.6
  609.8   4267   -0.1  -13.3     36   2.26    245     18  314.5  322.1  314.9
  589.0   4549   -2.7  -14.7     39   2.09    263     15  314.6  321.6  315.0
  587.3   4572   -2.9  -15.1     39   2.03    265     15  314.6  321.5  315.0
  565.0   4877   -5.7  -19.7     32   1.43    260     14  314.8  319.8  315.1
  559.0   4961   -6.1  -22.1     27   1.17    257     15  315.3  319.4  315.6
  554.0   5031   -5.5  -33.5      9   0.41    255     15  316.9  318.4  316.9
  543.4   5182   -6.0  -36.4      7   0.32    250     16  318.0  319.2  318.0
  523.0   5482   -7.1  -42.1      4   0.18    270     20  320.2  320.9  320.2
  522.7   5486   -7.1  -42.0      4   0.18    270     20  320.2  320.9  320.2
  502.5   5791   -9.8  -37.7      8   0.30    260     11  320.6  321.8  320.7
  500.0   5830  -10.1  -37.1      9   0.32    255     13  320.7  321.9  320.7
  482.9   6096  -12.6  -37.4     11   0.32    260     15  320.8  322.0  320.8
  463.0   6416  -15.7  -37.7     13   0.32    268     18  320.8  322.1  320.9
  445.3   6706  -18.0  -39.7     13   0.27    275     20  321.5  322.6  321.5
  410.2   7315  -22.9  -43.9     13   0.19    250     23  322.9  323.6  322.9
  410.0   7319  -22.9  -43.9     13   0.19    250     23  322.9  323.6  322.9
  400.0   7500  -23.3  -52.3      5   0.08    265     26  324.6  324.9  324.6
  393.5   7620  -23.9  -57.0      3   0.04    280     27  325.3  325.5  325.3
  392.0   7648  -24.1  -58.1      3   0.04    280     27  325.4  325.6  325.5
  350.0   8464  -30.3  -63.3      2   0.02    294     23  327.8  327.9  327.8
  346.5   8534  -30.9  -63.5      3   0.02    295     23  327.9  328.0  327.9
  317.5   9144  -36.2  -64.8      4   0.02    290     23  328.8  328.9  328.8
  300.0   9540  -39.7  -65.7      5   0.02    290     25  329.3  329.4  329.3
  277.8  10058  -44.3  -65.7      7   0.02    300     26  329.9  330.0  329.9
  267.0  10326  -46.7  -65.7     10   0.02    296     29  330.2  330.3  330.2
  253.5  10668  -49.2  -67.4     10   0.02    290     33  331.4  331.5  331.4
  250.0  10760  -49.9  -67.9     10   0.02    290     35  331.8  331.8  331.8
  219.7  11582  -55.8  -70.9     13   0.01    300     39  335.1  335.2  335.1
  200.0  12180  -60.1  -73.1     17   0.01    305     40  337.4  337.5  337.4
  199.6  12192  -60.2  -73.2     17   0.01    305     39  337.5  337.5  337.5
  196.0  12306  -60.9  -73.9     16   0.01    302     38  338.1  338.1  338.1
  172.1  13106  -64.8  -77.8     15   0.01    280     30  344.5  344.5  344.5
  168.0  13255  -65.5  -78.5     15   0.01    265     45  345.7  345.7  345.7
  163.8  13411  -64.7  -78.0     14   0.01    270     51  349.6  349.6  349.6
  155.0  13748  -62.9  -76.9     14   0.01    273     52  358.1  358.2  358.2
  150.0  13950  -63.3  -77.3     13   0.01    275     53  360.8  360.9  360.8
  148.0  14032  -63.3  -77.3     13   0.01    276     55  362.2  362.3  362.2
  141.1  14326  -61.4  -78.1      9   0.01    280     61  370.5  370.5  370.5
  140.0  14376  -61.1  -78.2      9   0.01    280     61  371.9  372.0  371.9
  138.0  14465  -60.5  -78.5      8   0.01    279     58  374.5  374.5  374.5
  127.9  14935  -61.4  -80.8      6   0.00    275     42  381.1  381.1  381.1
  121.7  15240  -62.0  -82.3      5   0.00    265     47  385.4  385.4  385.4
  111.0  15810  -63.1  -85.1      4   0.00    260     54  393.6  393.6  393.6
  110.3  15850  -63.0  -85.0      4   0.00    260     55  394.6  394.6  394.6
  108.0  15979  -62.5  -84.5      4   0.00    264     52  397.9  397.9  397.9
  103.0  16270  -64.3  -86.3      3   0.00    274     44  399.8  399.9  399.8
  100.0  16450  -64.5  -86.5      3   0.00    280     39  402.8  402.9  402.8
   95.4  16738  -64.3  -86.3      3   0.00    273     33  408.7  408.7  408.7
   90.3  17069  -65.8  -86.7      4   0.00    265     27  412.0  412.1  412.0
   86.4  17341  -67.1  -87.1      4   0.00    256     36  414.8  414.8  414.8
   85.9  17374  -66.9  -87.2      4   0.00    255     37  415.8  415.8  415.8
   82.9  17591  -65.9  -87.9      3   0.00    266     43  422.2  422.2  422.2
   81.7  17678  -64.1  -87.2      3   0.00    270     45  427.6  427.6  427.6
   80.7  17756  -62.5  -86.5      3   0.00    276     42  432.4  432.4  432.4
   78.6  17919  -62.1  -87.1      2   0.00    290     37  436.5  436.5  436.5
   77.8  17983  -62.4  -87.2      2   0.00    295     35  437.2  437.2  437.2
   74.0  18288  -63.8  -87.7      3   0.00    270     31  440.5  440.5  440.5
   70.7  18569  -65.1  -88.1      3   0.00    262     29  443.5  443.5  443.5
   70.0  18630  -64.9  -87.9      3   0.00    260     28  445.2  445.2  445.2
