STID,NAME,ST,LAT,LON,YR,MO,DA,HR,MI,TAIR,TDEW,RELH,CHIL,HEAT,WDIR,WSPD,WMAX,PRES,TMAX,TMIN,RAIN
ACME,Acme,OK,34.81,-98.02,2019,9,9,14,55, , , , , , , , , , , , 
ADAX,Ada,OK,34.80,-96.67,2019,9,9,14,55,91,68,47, ,95,SSE,12,20,1014.72,91,72, 
ALTU,Altus,OK,34.59,-99.34,2019,9,9,14,55,92,64,40, ,93,S,22,28,1011.61,92,73, 
ALV2,Alva,OK,36.71,-98.71,2019,9,9,14,55,92,62,37, ,93,S,20,26,1011.31,93,72, 
ANT2,Antlers,OK,34.25,-95.67,2019,9,9,14,55,94,63,36, ,95,SSE,9,15,1014.86,95,63, 
APAC,Apache,OK,34.91,-98.29,2019,9,9,14,55,92,65,41, ,95,SSE,19,26,1013.18,93,71, 
ARD2,Ardmore,OK,34.19,-97.09,2019,9,9,14,55,91,68,48, ,95,S,12,17,1014.36,91,72, 
ARNE,Arnett,OK,36.07,-99.90,2019,9,9,14,55,89,61,39, ,89,S,19,31,1012.82,92,67,0.02
BEAV,Beaver,OK,36.80,-100.53,2019,9,9,14,55,87,61,42, ,87,SSW,20,28,1011.56,89,69, 
BESS,Bessie,OK,35.40,-99.06,2019,9,9,14,55,90,62,40, ,90,S,18,24,1012.42,90,75, 
BIXB,Bixby,OK,35.96,-95.87,2019,9,9,14,55,92,71,51, ,98,SSE,13,19,1014.01,92,68, 
BLAC,Blackwell,OK,36.75,-97.25,2019,9,9,14,55,93,61,35, ,93,S,17,22,1012.47,93,70, 
BOIS,Boise City,OK,36.69,-102.50,2019,9,9,14,55,86,59,40, ,86,S,18,23,1013.07,86,62,0.43
BREC,Breckinridge,OK,36.41,-97.69,2019,9,9,14,55,93,65,40, ,95,S,19,30,1012.31,94,74, 
BRIS,Bristow,OK,35.78,-96.35,2019,9,9,14,55,90,67,47, ,94,S,9,14,1013.90,91,71, 
BROK,Broken Bow,OK,34.04,-94.62,2019,9,9,14,55,95,65,37, ,97,SSW,6,12,1014.76,96,66, 
BUFF,Buffalo,OK,36.83,-99.64,2019,9,9,14,55, , , , , , , , , ,91,72, 
BURB,Burbank,OK,36.63,-96.81,2019,9,9,14,55,89,67,49, ,92,S,13,18,1013.22,91,71, 
BURN,Burneyville,OK,33.89,-97.27,2019,9,9,14,55,90,70,52, ,96,SE,10,17,1014.19,90,65, 
BUTL,Butler,OK,35.59,-99.27,2019,9,9,14,55,89,64,44, ,91,S,15,22,1012.62,92,77, 
