,timeObs,stationName,longitude,latitude,temperature,dewpoint,windDir,windSpeed,seaLevelPress,presWeather,skyCover,skyLayerBase
0,2016-06-22 13:15:00,KD55,-98.3936920166,48.7531394958,16.0,13.0,50.0,15.0,-9999.0,"['', '', '', '', '']","['SCT', 'BKN', 'OVC', '', '', '']","[1000.0, 1500.0, 5500.0, -9999.0, -9999.0, -9999.0]"
413,2016-06-22 13:15:00,KI16,-81.5589981079,37.5999984741,24.0,21.0,-9999.0,-9999.0,-9999.0,"['', '', '', '', '']","['SCT', 'SCT', '', '', '', '']","[700.0, 12000.0, -9999.0, -9999.0, -9999.0, -9999.0]"
406,2016-06-22 13:15:00,KHDC,-90.4199981689,30.5200004578,32.0,20.0,170.0,5.0,-9999.0,"['', '', '', '', '']","['SCT', '', '', '', '', '']","[3800.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
407,2016-06-22 13:15:00,KHDE,-99.3300018311,40.4500007629,27.0,19.0,340.0,14.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
408,2016-06-22 13:15:00,KHHF,-100.403999329,35.8950004578,35.0,18.0,200.0,13.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
409,2016-06-22 13:15:00,KHJH,-97.5869979858,40.1520004272,33.0,19.0,340.0,7.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
410,2016-06-22 13:15:00,KHNR,-95.3399963379,41.5839996338,31.0,21.0,280.0,6.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
411,2016-06-22 13:15:00,KHQU,-82.5159988403,33.5299987793,36.0,22.0,210.0,8.0,-9999.0,"['', '', '', '', '']","['SCT', '', '', '', '', '']","[5500.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
412,2016-06-22 13:15:00,KHWY,-77.7109985352,38.5859985352,29.0,14.0,210.0,5.0,-9999.0,"['', '', '', '', '']","['SCT', 'SCT', '', '', '', '']","[6000.0, 7000.0, -9999.0, -9999.0, -9999.0, -9999.0]"
414,2016-06-22 13:15:00,KIBM,-103.677001953,41.1879997253,25.0,1.0,70.0,3.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
385,2016-06-22 13:15:00,KFSW,-91.3300018311,40.6699981689,28.0,23.0,150.0,14.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
415,2016-06-22 13:15:00,KICL,-95.0299987793,40.7200012207,34.0,22.0,-9999.0,-9999.0,-9999.0,"['', '', '', '', '']","['', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
416,2016-06-22 13:15:00,KIDP,-95.7783889771,37.1583595276,36.0,17.0,230.0,16.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
417,2016-06-22 13:15:00,KIGQ,-87.5299987793,41.5299987793,23.0,19.0,230.0,10.0,-9999.0,"['', '', '', '', '']","['BKN', '', '', '', '', '']","[1500.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
418,2016-06-22 13:15:00,KIIY,-82.8199996948,33.7799987793,36.0,20.0,290.0,9.0,-9999.0,"['', '', '', '', '']","['CLR', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
419,2016-06-22 13:15:00,KIKV,-93.5699996948,41.6899986267,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,"['', '', '', '', '']","['', '', '', '', '', '']","[-9999.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
420,2016-06-22 13:15:00,KJAS,-94.0299987793,30.8899993896,31.0,22.0,170.0,4.0,-9999.0,"['', '', '', '', '']","['SCT', 'BKN', 'BKN', '', '', '']","[4000.0, 4600.0, 5500.0, -9999.0, -9999.0, -9999.0]"
421,2016-06-22 13:15:00,KJES,-81.8830032349,31.5540008545,33.0,20.0,0.0,0.0,-9999.0,"['', '', '', '', '']","['SCT', '', '', '', '', '']","[6500.0, -9999.0, -9999.0, -9999.0, -9999.0, -9999.0]"
405,2016-06-22 13:15:00,KGYB,-96.9800033569,30.1690006256,32.0,22.0,170.0,6.0,-9999.0,"['', '', '', '', '']","['BKN', 'BKN', '', '', '', '']","[3900.0, 5000.0, -9999.0, -9999.0, -9999.0, -9999.0]"
