-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
  959.0    345   22.2   19.0     82  14.64    160     18  298.9  341.8  301.5
  931.3    610   20.2   17.5     84  13.66    165     40  299.4  339.5  301.9
  925.0    671   19.8   17.1     84  13.44    165     38  299.6  339.0  302.0
  899.3    914   18.4   16.9     91  13.63    175     39  300.5  340.7  303.0
  892.0    984   18.0   16.8     93  13.68    178     39  300.8  341.2  303.3
  867.9   1219   17.4   14.3     82  11.99    190     38  302.6  338.3  304.8
  850.0   1397   17.0   12.5     75  10.82    195     38  303.9  336.5  305.9
  814.0   1766   15.4    5.4     51   6.95    204     37  306.0  327.4  307.3
  807.9   1829   15.4    1.2     38   5.19    205     37  306.7  323.0  307.7
  790.0   2019   15.6  -11.4     14   2.03    211     40  308.9  315.6  309.2
  779.2   2134   14.6  -11.2     16   2.09    215     42  309.0  315.9  309.4
  751.3   2438   12.0  -10.8     19   2.24    215     42  309.5  316.9  309.9
  724.3   2743    9.4  -10.4     24   2.40    220     40  309.9  317.8  310.3
  700.0   3028    7.0  -10.0     29   2.57    220     37  310.2  318.6  310.7
  655.0   3568    2.2  -16.8     23   1.58    220     37  310.7  316.1  311.0
  647.5   3658    1.4  -16.7     25   1.61    220     37  310.8  316.3  311.1
  599.4   4267   -4.2  -15.8     40   1.87    225     39  311.4  317.6  311.7
  554.7   4877   -9.7  -15.0     65   2.16    220     38  311.8  319.0  312.2
  550.0   4943  -10.3  -14.9     69   2.20    220     38  311.8  319.1  312.2
  500.0   5670  -14.9  -18.9     72   1.73    225     36  314.8  320.7  315.1
  472.5   6096  -17.6  -21.0     75   1.52    235     43  316.6  321.8  316.9
  449.0   6480  -20.1  -22.9     78   1.36    235     42  318.1  322.9  318.4
  400.0   7330  -26.7  -30.1     73   0.79    235     40  320.2  323.1  320.4
  383.7   7620  -29.1  -32.6     72   0.65    235     40  320.8  323.2  321.0
  336.4   8534  -36.8  -40.6     68   0.33    235     47  322.6  323.9  322.7
  321.9   8839  -39.4  -43.3     66   0.26    240     36  323.2  324.2  323.2
  308.1   9144  -41.9  -46.0     65   0.20    240     37  323.7  324.5  323.7
  300.0   9330  -43.5  -47.6     64   0.17    245     38  323.9  324.6  324.0
  269.0  10049  -49.0  -53.2     62   0.10    245     73  326.2  326.6  326.2
  268.6  10058  -49.1  -53.2     62   0.10    250     70  326.2  326.6  326.2
