time,station,latitude[unit="degrees_north"],longitude[unit="degrees_east"],air_pressure_at_sea_level[unit="hectoPascal"],air_temperature[unit="Celsius"],cloud_area_fraction[unit=""],dew_point_temperature[unit="Celsius"],high_cloud_area_fraction[unit=""],high_cloud_base_altitude[unit="meters"],low_cloud_area_fraction[unit=""],low_cloud_base_altitude[unit="meters"],middle_cloud_area_fraction[unit=""],middle_cloud_base_altitude[unit="meters"],precipitation_amount_24[unit=".01 inches"],precipitation_amount_hourly[unit=".01 inches"],visibility_in_air[unit="US_statute_mile"],weather,wind_from_direction[unit="degrees"],wind_speed[unit="m/s"],xfields
2016-01-16 00:14:00Z,04V,38.099,-106.169,NaN,-10.0,0.375,-14.0,0.375,2550.0,0.375,2100.0,0.375,2250.0,NaN,NaN,10.0,,330,2.57222,AO2
2016-01-16 00:17:00Z,0CO,39.790,-105.760,NaN,-16.0,1.0,-22.0,NaN,NaN,1.0,60.0,NaN,NaN,NaN,NaN,0.0,+SN,-99999,NaN,AO2
2016-01-15 23:58:00Z,0J4,31.040,-86.309,1007.6,13.3,1.0,11.7,NaN,NaN,0.125,540.0,1.0,750.0,NaN,NaN,10.0,,0,0.0,AO2 10139 20117 53017
2016-01-15 23:55:00Z,11R,30.219,-96.370,NaN,16.3,0.0,2.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.0,,0,0.0,AO2 10213 20163
2016-01-15 23:54:00Z,12N,41.009,-74.739,1007.7,0.6,NaN,-1.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,0,0.0,AO1 10078 20006 50008
2016-01-15 23:55:00Z,1A5,35.220,-83.419,NaN,3.7,1.0,3.0,NaN,NaN,1.0,180.0,NaN,NaN,NaN,NaN,7.0,-DZ,0,0.0,AO2 60061 10047 20018
2016-01-15 23:55:00Z,1A6,36.610,-83.739,NaN,5.8,1.0,5.3,NaN,NaN,1.0,360.0,NaN,NaN,NaN,0.02,4.0,-RA,0,0.0,AO2 60012 10065 20042
2016-01-15 23:55:00Z,1F0,34.169,-97.120,NaN,11.0,0.0,-1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.0,,0,0.0,AO2
2016-01-15 23:55:00Z,1H2,39.069,-88.529,NaN,0.0,1.0,-0.7,NaN,NaN,1.0,330.0,NaN,NaN,NaN,NaN,7.0,,270,6.687772,AO2 10085 20000
2016-01-16 00:15:00Z,1P1,43.779,-71.750,NaN,-3.7,1.0,-6.9,NaN,NaN,1.0,750.0,NaN,NaN,NaN,NaN,10.0,,0,0.0,AO2
2016-01-15 23:54:00Z,1V4,44.419,-72.019,1011.8,-5.0,NaN,-8.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,-99999,NaN,AO1 11033 21056 55007
2016-01-16 00:15:00Z,20V,40.049,-106.370,NaN,-5.0,1.0,-10.0,1.0,2400.0,0.375,1170.0,0.75,1440.0,NaN,NaN,10.0,,330,3.601108,AO2
2016-01-16 00:00:00Z,2G4,39.580,-79.339,NaN,2.0,1.0,1.0,NaN,NaN,0.75,750.0,1.0,1170.0,NaN,NaN,7.0,,160,3.601108,AO1
2016-01-16 00:04:00Z,2W6,38.310,-76.550,NaN,6.0,1.0,5.0,1.0,1800.0,0.375,960.0,0.375,1410.0,NaN,NaN,7.0,,120,2.057776,AO1
2016-01-15 23:56:00Z,2WX,45.569,-103.519,1011.3,-2.8,NaN,-5.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,290,4.115552,AO1 11022 21039 53016
2016-01-15 23:55:00Z,3J7,33.599,-83.139,NaN,10.0,NaN,10.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.0,,210,2.57222,AO2
2016-01-15 23:55:00Z,3LF,39.159,-89.669,NaN,-1.0,1.0,-3.3,NaN,NaN,1.0,300.0,NaN,NaN,NaN,NaN,4.0,BR,290,7.71666,AO2 10059 21010
2016-01-15 23:55:00Z,3T5,29.909,-96.949,NaN,13.9,0.0,6.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.0,,0,0.0,AO2 10212 20139
2016-01-16 00:16:00Z,40B,46.619,-69.529,1015.6,-15.4,NaN,-17.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01,NaN,,-99999,1.543332,AO1 11075 21161 55001 60005
2016-01-15 23:55:00Z,40J,30.069,-83.569,NaN,15.7,0.0,12.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.0,,220,3.601108,AO2 10231 20157
2016-01-15 23:55:00Z,4A9,34.470,-85.720,NaN,8.0,1.0,6.0,NaN,NaN,1.0,90.0,NaN,NaN,NaN,NaN,1.75,BR,240,2.57222,AO2
2016-01-16 00:13:00Z,4BM,39.049,-105.519,NaN,-11.0,1.0,-14.0,1.0,1500.0,0.375,540.0,0.75,1260.0,NaN,NaN,2.5,HZ,290,2.57222,AO2
2016-01-15 23:55:00Z,4O4,33.909,-94.860,NaN,11.0,0.0,-1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.0,,340,2.057776,AO2
2016-01-16 00:14:00Z,5SM,39.430,-107.379,NaN,-9.0,1.0,-10.0,NaN,NaN,1.0,60.0,NaN,NaN,NaN,NaN,0.75,-SN,0,0.0,AO2
2016-01-15 23:53:00Z,6R6,30.040,-102.209,1005.0,21.7,NaN,-12.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,250,6.173328,AO1 10244 20189 55001
2016-01-15 23:56:00Z,79J,31.319,-86.400,1006.7,13.9,0.375,11.1,NaN,NaN,0.375,750.0,NaN,NaN,NaN,NaN,7.0,,0,0.0,AO2 10150 20128 53015
2016-01-16 00:15:00Z,7BM,38.779,-106.220,NaN,-4.0,0.0,-14.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.0,,230,9.259992,AO2
2016-01-15 23:56:00Z,8D3,45.669,-97.000,1018.7,-15.0,NaN,-18.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,350,7.202216,AO1 11144 21161 51019
2016-01-15 23:56:00Z,9L2,34.990,-117.860,1016.7,13.9,0.0,1.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.0,,270,9.259992,AO2 10161 20139 53002 $
2016-01-15 23:55:00Z,9V9,43.799,-99.319,NaN,-7.4,1.0,-8.6,1.0,1500.0,0.375,930.0,0.75,1290.0,NaN,NaN,4.0,-SN,310,1.543332,AO2 11067 21082
2016-01-15 23:55:00Z,AAA,40.159,-89.330,NaN,-0.5,1.0,-2.3,NaN,NaN,1.0,300.0,NaN,NaN,NaN,NaN,5.0,BR,290,4.629996,AO2 10023 21005
2016-01-15 23:53:00Z,AAF,29.729,-85.029,NaN,16.0,0.125,14.0,NaN,NaN,0.125,840.0,NaN,NaN,NaN,NaN,10.0,,280,1.543332,
2016-01-15 23:51:00Z,ABE,40.650,-75.430,NaN,5.0,0.125,-2.0,NaN,NaN,0.125,3600.0,NaN,NaN,NaN,NaN,10.0,,80,2.057776,
2016-01-15 23:52:00Z,ABQ,35.049,-106.620,1010.6,2.8,1.0,-3.9,1.0,1950.0,0.125,750.0,0.75,1050.0,NaN,0.0,7.0,,310,1.543332,AO2 SNB24E29 MTNS OBSC NE-SE SHSN DSNT NE-SE 6000
2016-01-15 23:53:00Z,KABR,45.450,-98.430,NaN,-11.0,1.0,-17.0,NaN,NaN,1.0,1380.0,NaN,NaN,NaN,NaN,10.0,,30,2.057776,
2016-01-15 23:05:00Z,ABY,31.530,-84.180,NaN,14.4,1.0,10.6,NaN,NaN,1.0,570.0,NaN,NaN,NaN,NaN,10.0,,280,4.629996,AO2
