,DATE,P,RH,T,WD,WS,WSMAX
2016-03-31 00:00:00,2016-03-31 00:00:00,980.2,42.4,21.3,166.6,4.4,7.3
2016-03-31 00:01:00,2016-03-31 00:01:00,980.2,42.7,21.3,168.6,3.9,5.7
2016-03-31 00:02:00,2016-03-31 00:02:00,980.2,42.7,21.2,157.7,3.9,5.8
2016-03-31 00:03:00,2016-03-31 00:03:00,980.2,42.8,21.2,161.8,3.8,4.7
2016-03-31 00:04:00,2016-03-31 00:04:00,980.2,43.1,21.2,152.9,3.2,4.4
2016-03-31 00:05:00,2016-03-31 00:05:00,980.2,43.5,21.1,154.5,1.8,3.5
2016-03-31 00:06:00,2016-03-31 00:06:00,980.2,43.6,21.0,169.9,3.7,5.6
2016-03-31 00:07:00,2016-03-31 00:07:00,980.2,43.5,21.0,157.7,3.6,4.9
2016-03-31 00:08:00,2016-03-31 00:08:00,980.2,43.7,21.0,149.4,3.0,4.0
2016-03-31 00:09:00,2016-03-31 00:09:00,980.2,43.7,21.0,151.9,3.6,6.7
2016-03-31 00:10:00,2016-03-31 00:10:00,980.2,43.5,21.0,160.0,3.9,6.4
2016-03-31 00:11:00,2016-03-31 00:11:00,980.2,43.6,21.0,168.8,3.4,5.0
2016-03-31 00:12:00,2016-03-31 00:12:00,980.2,43.8,20.9,151.2,3.4,5.4
2016-03-31 00:13:00,2016-03-31 00:13:00,980.2,43.7,20.9,163.2,3.6,4.8
2016-03-31 00:14:00,2016-03-31 00:14:00,980.1,43.6,20.9,148.6,3.6,6.2
2016-03-31 00:15:00,2016-03-31 00:15:00,980.1,44.0,20.9,167.7,2.2,3.4
2016-03-31 00:16:00,2016-03-31 00:16:00,980.1,44.1,20.8,174.9,4.2,6.0
2016-03-31 00:17:00,2016-03-31 00:17:00,980.1,43.8,20.9,175.0,4.7,7.2
2016-03-31 00:18:00,2016-03-31 00:18:00,980.1,43.9,20.9,157.0,4.5,6.9
2016-03-31 00:19:00,2016-03-31 00:19:00,980.1,43.8,20.9,153.2,3.2,4.2
2016-03-31 00:20:00,2016-03-31 00:20:00,980.0,44.1,20.9,146.6,4.6,6.9
2016-03-31 00:21:00,2016-03-31 00:21:00,980.1,44.6,20.8,162.7,2.5,3.9
2016-03-31 00:22:00,2016-03-31 00:22:00,980.1,44.4,20.8,160.9,4.4,7.2
2016-03-31 00:23:00,2016-03-31 00:23:00,980.0,44.7,20.8,164.1,2.8,4.5
2016-03-31 00:24:00,2016-03-31 00:24:00,980.0,44.5,20.7,151.0,3.5,5.0
2016-03-31 00:25:00,2016-03-31 00:25:00,980.0,44.9,20.7,165.8,3.1,4.6
2016-03-31 00:26:00,2016-03-31 00:26:00,979.9,45.0,20.7,155.0,3.3,5.2
2016-03-31 00:27:00,2016-03-31 00:27:00,980.0,45.0,20.7,156.0,4.0,5.7
2016-03-31 00:28:00,2016-03-31 00:28:00,980.0,45.1,20.7,164.8,3.3,6.1
2016-03-31 00:29:00,2016-03-31 00:29:00,980.0,45.5,20.6,161.7,2.6,3.5
2016-03-31 00:30:00,2016-03-31 00:30:00,980.0,45.6,20.5,151.5,3.3,4.5
2016-03-31 00:31:00,2016-03-31 00:31:00,980.0,45.2,20.6,163.9,4.9,6.0
2016-03-31 00:32:00,2016-03-31 00:32:00,980.0,45.1,20.6,155.8,3.4,5.0
2016-03-31 00:33:00,2016-03-31 00:33:00,980.0,45.6,20.6,159.7,2.3,3.9
2016-03-31 00:34:00,2016-03-31 00:34:00,980.0,45.7,20.5,147.6,2.9,3.9
2016-03-31 00:35:00,2016-03-31 00:35:00,980.0,45.7,20.5,157.3,3.1,4.4
2016-03-31 00:36:00,2016-03-31 00:36:00,980.0,46.1,20.5,152.2,2.3,4.1
